# mdm(GeV) 	mAp(GeV) 	Number of Signal Events
2.8480e-03	1.0511e-03	0.0000e+00
3.0539e-03	1.0511e-03	0.0000e+00
3.2745e-03	1.0511e-03	0.0000e+00
3.5112e-03	1.0511e-03	0.0000e+00
3.7649e-03	1.0511e-03	0.0000e+00
4.0370e-03	1.0511e-03	0.0000e+00
4.3288e-03	1.0511e-03	0.0000e+00
4.6416e-03	1.0511e-03	0.0000e+00
4.9770e-03	1.0511e-03	0.0000e+00
5.3367e-03	1.0511e-03	0.0000e+00
5.7224e-03	1.0511e-03	0.0000e+00
6.1359e-03	1.0511e-03	0.0000e+00
6.5793e-03	1.0511e-03	0.0000e+00
7.0548e-03	1.0511e-03	0.0000e+00
7.5646e-03	1.0511e-03	0.0000e+00
8.1113e-03	1.0511e-03	0.0000e+00
8.6975e-03	1.0511e-03	0.0000e+00
9.3260e-03	1.0511e-03	0.0000e+00
1.0000e-02	1.0511e-03	0.0000e+00
1.0723e-02	1.0511e-03	0.0000e+00
1.1498e-02	1.0511e-03	0.0000e+00
1.2328e-02	1.0511e-03	0.0000e+00
1.3219e-02	1.0511e-03	0.0000e+00
1.4175e-02	1.0511e-03	0.0000e+00
1.5199e-02	1.0511e-03	0.0000e+00
1.6298e-02	1.0511e-03	0.0000e+00
1.7475e-02	1.0511e-03	0.0000e+00
1.8738e-02	1.0511e-03	0.0000e+00
2.0092e-02	1.0511e-03	0.0000e+00
2.1544e-02	1.0511e-03	0.0000e+00
2.3101e-02	1.0511e-03	0.0000e+00
2.4771e-02	1.0511e-03	0.0000e+00
2.6561e-02	1.0511e-03	0.0000e+00
2.8480e-02	1.0511e-03	0.0000e+00
3.0539e-02	1.0511e-03	0.0000e+00
3.2745e-02	1.0511e-03	0.0000e+00
3.5112e-02	1.0511e-03	0.0000e+00
3.7649e-02	1.0511e-03	0.0000e+00
4.0370e-02	1.0511e-03	0.0000e+00
4.3288e-02	1.0511e-03	0.0000e+00
4.6416e-02	1.0511e-03	0.0000e+00
4.9770e-02	1.0511e-03	0.0000e+00
5.3367e-02	1.0511e-03	0.0000e+00
5.7224e-02	1.0511e-03	0.0000e+00
6.1359e-02	1.0511e-03	0.0000e+00
6.5793e-02	1.0511e-03	0.0000e+00
7.0548e-02	1.0511e-03	0.0000e+00
7.5646e-02	1.0511e-03	0.0000e+00
8.1113e-02	1.0511e-03	0.0000e+00
8.6975e-02	1.0511e-03	0.0000e+00
9.3260e-02	1.0511e-03	0.0000e+00
1.0000e-01	1.0511e-03	0.0000e+00
1.0723e-01	1.0511e-03	0.0000e+00
1.1498e-01	1.0511e-03	0.0000e+00
1.2328e-01	1.0511e-03	0.0000e+00
1.3219e-01	1.0511e-03	0.0000e+00
1.4175e-01	1.0511e-03	0.0000e+00
1.5199e-01	1.0511e-03	0.0000e+00
1.6298e-01	1.0511e-03	0.0000e+00
1.7475e-01	1.0511e-03	0.0000e+00
1.8738e-01	1.0511e-03	0.0000e+00
2.0092e-01	1.0511e-03	0.0000e+00
2.1544e-01	1.0511e-03	0.0000e+00
2.3101e-01	1.0511e-03	0.0000e+00
2.4771e-01	1.0511e-03	0.0000e+00
2.6561e-01	1.0511e-03	0.0000e+00
2.8480e-01	1.0511e-03	0.0000e+00
3.0539e-01	1.0511e-03	0.0000e+00
3.2745e-01	1.0511e-03	0.0000e+00
3.5112e-01	1.0511e-03	0.0000e+00
3.7649e-01	1.0511e-03	0.0000e+00
4.0370e-01	1.0511e-03	0.0000e+00
4.3288e-01	1.0511e-03	0.0000e+00
4.6416e-01	1.0511e-03	0.0000e+00
4.9770e-01	1.0511e-03	0.0000e+00
5.3367e-01	1.0511e-03	0.0000e+00
5.7224e-01	1.0511e-03	0.0000e+00
6.1359e-01	1.0511e-03	0.0000e+00
6.5793e-01	1.0511e-03	0.0000e+00
7.0548e-01	1.0511e-03	0.0000e+00
7.5646e-01	1.0511e-03	0.0000e+00
8.1113e-01	1.0511e-03	0.0000e+00
8.6975e-01	1.0511e-03	0.0000e+00
9.3260e-01	1.0511e-03	0.0000e+00
1.0000e+00	1.0511e-03	0.0000e+00
1.0000e-03	1.1049e-03	0.0000e+00
1.0723e-03	1.1049e-03	0.0000e+00
1.1498e-03	1.1049e-03	0.0000e+00
1.2328e-03	1.1049e-03	0.0000e+00
1.3219e-03	1.1049e-03	0.0000e+00
1.4175e-03	1.1049e-03	0.0000e+00
1.5199e-03	1.1049e-03	0.0000e+00
1.6298e-03	1.1049e-03	0.0000e+00
1.7475e-03	1.1049e-03	0.0000e+00
1.8738e-03	1.1049e-03	0.0000e+00
2.0092e-03	1.1049e-03	0.0000e+00
2.1544e-03	1.1049e-03	0.0000e+00
2.3101e-03	1.1049e-03	0.0000e+00
2.4771e-03	1.1049e-03	0.0000e+00
2.6561e-03	1.1049e-03	0.0000e+00
2.8480e-03	1.1049e-03	0.0000e+00
3.0539e-03	1.1049e-03	0.0000e+00
3.2745e-03	1.1049e-03	0.0000e+00
3.5112e-03	1.1049e-03	0.0000e+00
3.7649e-03	1.1049e-03	0.0000e+00
4.0370e-03	1.1049e-03	0.0000e+00
4.3288e-03	1.1049e-03	0.0000e+00
4.6416e-03	1.1049e-03	0.0000e+00
4.9770e-03	1.1049e-03	0.0000e+00
5.3367e-03	1.1049e-03	0.0000e+00
5.7224e-03	1.1049e-03	0.0000e+00
6.1359e-03	1.1049e-03	0.0000e+00
6.5793e-03	1.1049e-03	0.0000e+00
7.0548e-03	1.1049e-03	0.0000e+00
7.5646e-03	1.1049e-03	0.0000e+00
8.1113e-03	1.1049e-03	0.0000e+00
8.6975e-03	1.1049e-03	0.0000e+00
9.3260e-03	1.1049e-03	0.0000e+00
1.0000e-02	1.1049e-03	0.0000e+00
1.0723e-02	1.1049e-03	0.0000e+00
1.1498e-02	1.1049e-03	0.0000e+00
1.2328e-02	1.1049e-03	0.0000e+00
1.3219e-02	1.1049e-03	0.0000e+00
1.4175e-02	1.1049e-03	0.0000e+00
1.5199e-02	1.1049e-03	0.0000e+00
1.6298e-02	1.1049e-03	0.0000e+00
1.7475e-02	1.1049e-03	0.0000e+00
1.8738e-02	1.1049e-03	0.0000e+00
2.0092e-02	1.1049e-03	0.0000e+00
2.1544e-02	1.1049e-03	0.0000e+00
2.3101e-02	1.1049e-03	0.0000e+00
2.4771e-02	1.1049e-03	0.0000e+00
2.6561e-02	1.1049e-03	0.0000e+00
2.8480e-02	1.1049e-03	0.0000e+00
3.0539e-02	1.1049e-03	0.0000e+00
3.2745e-02	1.1049e-03	0.0000e+00
3.5112e-02	1.1049e-03	0.0000e+00
3.7649e-02	1.1049e-03	0.0000e+00
4.0370e-02	1.1049e-03	0.0000e+00
4.3288e-02	1.1049e-03	0.0000e+00
4.6416e-02	1.1049e-03	0.0000e+00
4.9770e-02	1.1049e-03	0.0000e+00
5.3367e-02	1.1049e-03	0.0000e+00
5.7224e-02	1.1049e-03	0.0000e+00
6.1359e-02	1.1049e-03	0.0000e+00
6.5793e-02	1.1049e-03	0.0000e+00
7.0548e-02	1.1049e-03	0.0000e+00
7.5646e-02	1.1049e-03	0.0000e+00
8.1113e-02	1.1049e-03	0.0000e+00
8.6975e-02	1.1049e-03	0.0000e+00
9.3260e-02	1.1049e-03	0.0000e+00
1.0000e-01	1.1049e-03	0.0000e+00
1.0723e-01	1.1049e-03	0.0000e+00
1.1498e-01	1.1049e-03	0.0000e+00
1.2328e-01	1.1049e-03	0.0000e+00
1.3219e-01	1.1049e-03	0.0000e+00
1.4175e-01	1.1049e-03	0.0000e+00
1.5199e-01	1.1049e-03	0.0000e+00
1.6298e-01	1.1049e-03	0.0000e+00
1.7475e-01	1.1049e-03	0.0000e+00
1.8738e-01	1.1049e-03	0.0000e+00
2.0092e-01	1.1049e-03	0.0000e+00
2.1544e-01	1.1049e-03	0.0000e+00
2.3101e-01	1.1049e-03	0.0000e+00
2.4771e-01	1.1049e-03	0.0000e+00
2.6561e-01	1.1049e-03	0.0000e+00
2.8480e-01	1.1049e-03	0.0000e+00
3.0539e-01	1.1049e-03	0.0000e+00
3.2745e-01	1.1049e-03	0.0000e+00
3.5112e-01	1.1049e-03	0.0000e+00
3.7649e-01	1.1049e-03	0.0000e+00
4.0370e-01	1.1049e-03	0.0000e+00
4.3288e-01	1.1049e-03	0.0000e+00
4.6416e-01	1.1049e-03	0.0000e+00
4.9770e-01	1.1049e-03	0.0000e+00
5.3367e-01	1.1049e-03	0.0000e+00
5.7224e-01	1.1049e-03	0.0000e+00
6.1359e-01	1.1049e-03	0.0000e+00
6.5793e-01	1.1049e-03	0.0000e+00
7.0548e-01	1.1049e-03	0.0000e+00
7.5646e-01	1.1049e-03	0.0000e+00
8.1113e-01	1.1049e-03	0.0000e+00
8.6975e-01	1.1049e-03	0.0000e+00
9.3260e-01	1.1049e-03	0.0000e+00
1.0000e+00	1.1049e-03	0.0000e+00
1.0000e-03	1.1614e-03	0.0000e+00
1.0723e-03	1.1614e-03	0.0000e+00
1.1498e-03	1.1614e-03	0.0000e+00
1.2328e-03	1.1614e-03	0.0000e+00
1.3219e-03	1.1614e-03	0.0000e+00
1.4175e-03	1.1614e-03	0.0000e+00
1.5199e-03	1.1614e-03	0.0000e+00
1.6298e-03	1.1614e-03	0.0000e+00
1.7475e-03	1.1614e-03	0.0000e+00
1.8738e-03	1.1614e-03	0.0000e+00
2.0092e-03	1.1614e-03	0.0000e+00
2.1544e-03	1.1614e-03	0.0000e+00
2.3101e-03	1.1614e-03	0.0000e+00
2.4771e-03	1.1614e-03	0.0000e+00
2.6561e-03	1.1614e-03	0.0000e+00
2.8480e-03	1.1614e-03	0.0000e+00
3.0539e-03	1.1614e-03	0.0000e+00
3.2745e-03	1.1614e-03	0.0000e+00
3.5112e-03	1.1614e-03	0.0000e+00
3.7649e-03	1.1614e-03	0.0000e+00
4.0370e-03	1.1614e-03	0.0000e+00
4.3288e-03	1.1614e-03	0.0000e+00
4.6416e-03	1.1614e-03	0.0000e+00
4.9770e-03	1.1614e-03	0.0000e+00
5.3367e-03	1.1614e-03	0.0000e+00
5.7224e-03	1.1614e-03	0.0000e+00
6.1359e-03	1.1614e-03	0.0000e+00
6.5793e-03	1.1614e-03	0.0000e+00
7.0548e-03	1.1614e-03	0.0000e+00
7.5646e-03	1.1614e-03	0.0000e+00
8.1113e-03	1.1614e-03	0.0000e+00
8.6975e-03	1.1614e-03	0.0000e+00
9.3260e-03	1.1614e-03	0.0000e+00
1.0000e-02	1.1614e-03	0.0000e+00
1.0723e-02	1.1614e-03	0.0000e+00
1.1498e-02	1.1614e-03	0.0000e+00
1.2328e-02	1.1614e-03	0.0000e+00
1.3219e-02	1.1614e-03	0.0000e+00
1.4175e-02	1.1614e-03	0.0000e+00
1.5199e-02	1.1614e-03	0.0000e+00
1.6298e-02	1.1614e-03	0.0000e+00
1.7475e-02	1.1614e-03	0.0000e+00
1.8738e-02	1.1614e-03	0.0000e+00
2.0092e-02	1.1614e-03	0.0000e+00
2.1544e-02	1.1614e-03	0.0000e+00
2.3101e-02	1.1614e-03	0.0000e+00
2.4771e-02	1.1614e-03	0.0000e+00
2.6561e-02	1.1614e-03	0.0000e+00
2.8480e-02	1.1614e-03	0.0000e+00
3.0539e-02	1.1614e-03	0.0000e+00
3.2745e-02	1.1614e-03	0.0000e+00
3.5112e-02	1.1614e-03	0.0000e+00
3.7649e-02	1.1614e-03	0.0000e+00
4.0370e-02	1.1614e-03	0.0000e+00
4.3288e-02	1.1614e-03	0.0000e+00
4.6416e-02	1.1614e-03	0.0000e+00
4.9770e-02	1.1614e-03	0.0000e+00
5.3367e-02	1.1614e-03	0.0000e+00
5.7224e-02	1.1614e-03	0.0000e+00
6.1359e-02	1.1614e-03	0.0000e+00
6.5793e-02	1.1614e-03	0.0000e+00
7.0548e-02	1.1614e-03	0.0000e+00
7.5646e-02	1.1614e-03	0.0000e+00
8.1113e-02	1.1614e-03	0.0000e+00
8.6975e-02	1.1614e-03	0.0000e+00
9.3260e-02	1.1614e-03	0.0000e+00
1.0000e-01	1.1614e-03	0.0000e+00
1.0723e-01	1.1614e-03	0.0000e+00
1.1498e-01	1.1614e-03	0.0000e+00
1.2328e-01	1.1614e-03	0.0000e+00
1.3219e-01	1.1614e-03	0.0000e+00
1.4175e-01	1.1614e-03	0.0000e+00
1.5199e-01	1.1614e-03	0.0000e+00
1.6298e-01	1.1614e-03	0.0000e+00
1.7475e-01	1.1614e-03	0.0000e+00
1.8738e-01	1.1614e-03	0.0000e+00
2.0092e-01	1.1614e-03	0.0000e+00
2.1544e-01	1.1614e-03	0.0000e+00
2.3101e-01	1.1614e-03	0.0000e+00
2.4771e-01	1.1614e-03	0.0000e+00
2.6561e-01	1.1614e-03	0.0000e+00
2.8480e-01	1.1614e-03	0.0000e+00
3.0539e-01	1.1614e-03	0.0000e+00
3.2745e-01	1.1614e-03	0.0000e+00
3.5112e-01	1.1614e-03	0.0000e+00
3.7649e-01	1.1614e-03	0.0000e+00
4.0370e-01	1.1614e-03	0.0000e+00
4.3288e-01	1.1614e-03	0.0000e+00
4.6416e-01	1.1614e-03	0.0000e+00
4.9770e-01	1.1614e-03	0.0000e+00
5.3367e-01	1.1614e-03	0.0000e+00
5.7224e-01	1.1614e-03	0.0000e+00
6.1359e-01	1.1614e-03	0.0000e+00
6.5793e-01	1.1614e-03	0.0000e+00
7.0548e-01	1.1614e-03	0.0000e+00
7.5646e-01	1.1614e-03	0.0000e+00
8.1113e-01	1.1614e-03	0.0000e+00
8.6975e-01	1.1614e-03	0.0000e+00
9.3260e-01	1.1614e-03	0.0000e+00
1.0000e+00	1.1614e-03	0.0000e+00
1.0000e-03	1.2208e-03	0.0000e+00
1.0723e-03	1.2208e-03	0.0000e+00
1.1498e-03	1.2208e-03	0.0000e+00
1.2328e-03	1.2208e-03	0.0000e+00
1.3219e-03	1.2208e-03	0.0000e+00
1.4175e-03	1.2208e-03	0.0000e+00
1.5199e-03	1.2208e-03	0.0000e+00
1.6298e-03	1.2208e-03	0.0000e+00
1.7475e-03	1.2208e-03	0.0000e+00
1.8738e-03	1.2208e-03	0.0000e+00
2.0092e-03	1.2208e-03	0.0000e+00
2.1544e-03	1.2208e-03	0.0000e+00
2.3101e-03	1.2208e-03	0.0000e+00
2.4771e-03	1.2208e-03	0.0000e+00
2.6561e-03	1.2208e-03	0.0000e+00
2.8480e-03	1.2208e-03	0.0000e+00
3.0539e-03	1.2208e-03	0.0000e+00
3.2745e-03	1.2208e-03	0.0000e+00
3.5112e-03	1.2208e-03	0.0000e+00
3.7649e-03	1.2208e-03	0.0000e+00
4.0370e-03	1.2208e-03	0.0000e+00
4.3288e-03	1.2208e-03	0.0000e+00
4.6416e-03	1.2208e-03	0.0000e+00
4.9770e-03	1.2208e-03	0.0000e+00
5.3367e-03	1.2208e-03	0.0000e+00
5.7224e-03	1.2208e-03	0.0000e+00
6.1359e-03	1.2208e-03	0.0000e+00
6.5793e-03	1.2208e-03	0.0000e+00
7.0548e-03	1.2208e-03	0.0000e+00
7.5646e-03	1.2208e-03	0.0000e+00
8.1113e-03	1.2208e-03	0.0000e+00
8.6975e-03	1.2208e-03	0.0000e+00
9.3260e-03	1.2208e-03	0.0000e+00
1.0000e-02	1.2208e-03	0.0000e+00
1.0723e-02	1.2208e-03	0.0000e+00
1.1498e-02	1.2208e-03	0.0000e+00
1.2328e-02	1.2208e-03	0.0000e+00
1.3219e-02	1.2208e-03	0.0000e+00
1.4175e-02	1.2208e-03	0.0000e+00
1.5199e-02	1.2208e-03	0.0000e+00
1.6298e-02	1.2208e-03	0.0000e+00
1.7475e-02	1.2208e-03	0.0000e+00
1.8738e-02	1.2208e-03	0.0000e+00
2.0092e-02	1.2208e-03	0.0000e+00
2.1544e-02	1.2208e-03	0.0000e+00
2.3101e-02	1.2208e-03	0.0000e+00
2.4771e-02	1.2208e-03	0.0000e+00
2.6561e-02	1.2208e-03	0.0000e+00
2.8480e-02	1.2208e-03	0.0000e+00
3.0539e-02	1.2208e-03	0.0000e+00
3.2745e-02	1.2208e-03	0.0000e+00
3.5112e-02	1.2208e-03	0.0000e+00
3.7649e-02	1.2208e-03	0.0000e+00
4.0370e-02	1.2208e-03	0.0000e+00
4.3288e-02	1.2208e-03	0.0000e+00
4.6416e-02	1.2208e-03	0.0000e+00
4.9770e-02	1.2208e-03	0.0000e+00
5.3367e-02	1.2208e-03	0.0000e+00
5.7224e-02	1.2208e-03	0.0000e+00
6.1359e-02	1.2208e-03	0.0000e+00
6.5793e-02	1.2208e-03	0.0000e+00
7.0548e-02	1.2208e-03	0.0000e+00
7.5646e-02	1.2208e-03	0.0000e+00
8.1113e-02	1.2208e-03	0.0000e+00
8.6975e-02	1.2208e-03	0.0000e+00
9.3260e-02	1.2208e-03	0.0000e+00
1.0000e-01	1.2208e-03	0.0000e+00
1.0723e-01	1.2208e-03	0.0000e+00
1.1498e-01	1.2208e-03	0.0000e+00
1.2328e-01	1.2208e-03	0.0000e+00
1.3219e-01	1.2208e-03	0.0000e+00
1.4175e-01	1.2208e-03	0.0000e+00
1.5199e-01	1.2208e-03	0.0000e+00
1.6298e-01	1.2208e-03	0.0000e+00
1.7475e-01	1.2208e-03	0.0000e+00
1.8738e-01	1.2208e-03	0.0000e+00
2.0092e-01	1.2208e-03	0.0000e+00
2.1544e-01	1.2208e-03	0.0000e+00
2.3101e-01	1.2208e-03	0.0000e+00
2.4771e-01	1.2208e-03	0.0000e+00
2.6561e-01	1.2208e-03	0.0000e+00
2.8480e-01	1.2208e-03	0.0000e+00
3.0539e-01	1.2208e-03	0.0000e+00
3.2745e-01	1.2208e-03	0.0000e+00
3.5112e-01	1.2208e-03	0.0000e+00
3.7649e-01	1.2208e-03	0.0000e+00
4.0370e-01	1.2208e-03	0.0000e+00
4.3288e-01	1.2208e-03	0.0000e+00
4.6416e-01	1.2208e-03	0.0000e+00
4.9770e-01	1.2208e-03	0.0000e+00
5.3367e-01	1.2208e-03	0.0000e+00
5.7224e-01	1.2208e-03	0.0000e+00
6.1359e-01	1.2208e-03	0.0000e+00
6.5793e-01	1.2208e-03	0.0000e+00
7.0548e-01	1.2208e-03	0.0000e+00
7.5646e-01	1.2208e-03	0.0000e+00
8.1113e-01	1.2208e-03	0.0000e+00
8.6975e-01	1.2208e-03	0.0000e+00
9.3260e-01	1.2208e-03	0.0000e+00
1.0000e+00	1.2208e-03	0.0000e+00
1.0000e-03	1.2833e-03	0.0000e+00
1.0723e-03	1.2833e-03	0.0000e+00
1.1498e-03	1.2833e-03	0.0000e+00
1.2328e-03	1.2833e-03	0.0000e+00
1.3219e-03	1.2833e-03	0.0000e+00
1.4175e-03	1.2833e-03	0.0000e+00
1.5199e-03	1.2833e-03	0.0000e+00
1.6298e-03	1.2833e-03	0.0000e+00
1.7475e-03	1.2833e-03	0.0000e+00
1.8738e-03	1.2833e-03	0.0000e+00
2.0092e-03	1.2833e-03	0.0000e+00
2.1544e-03	1.2833e-03	0.0000e+00
2.3101e-03	1.2833e-03	0.0000e+00
2.4771e-03	1.2833e-03	0.0000e+00
2.6561e-03	1.2833e-03	0.0000e+00
2.8480e-03	1.2833e-03	0.0000e+00
3.0539e-03	1.2833e-03	0.0000e+00
3.2745e-03	1.2833e-03	0.0000e+00
3.5112e-03	1.2833e-03	0.0000e+00
3.7649e-03	1.2833e-03	0.0000e+00
4.0370e-03	1.2833e-03	0.0000e+00
4.3288e-03	1.2833e-03	0.0000e+00
4.6416e-03	1.2833e-03	0.0000e+00
4.9770e-03	1.2833e-03	0.0000e+00
5.3367e-03	1.2833e-03	0.0000e+00
5.7224e-03	1.2833e-03	0.0000e+00
6.1359e-03	1.2833e-03	0.0000e+00
6.5793e-03	1.2833e-03	0.0000e+00
7.0548e-03	1.2833e-03	0.0000e+00
7.5646e-03	1.2833e-03	0.0000e+00
8.1113e-03	1.2833e-03	0.0000e+00
8.6975e-03	1.2833e-03	0.0000e+00
9.3260e-03	1.2833e-03	0.0000e+00
1.0000e-02	1.2833e-03	0.0000e+00
1.0723e-02	1.2833e-03	0.0000e+00
1.1498e-02	1.2833e-03	0.0000e+00
1.2328e-02	1.2833e-03	0.0000e+00
1.3219e-02	1.2833e-03	0.0000e+00
1.4175e-02	1.2833e-03	0.0000e+00
1.5199e-02	1.2833e-03	0.0000e+00
1.6298e-02	1.2833e-03	0.0000e+00
1.7475e-02	1.2833e-03	0.0000e+00
1.8738e-02	1.2833e-03	0.0000e+00
2.0092e-02	1.2833e-03	0.0000e+00
2.1544e-02	1.2833e-03	0.0000e+00
2.3101e-02	1.2833e-03	0.0000e+00
2.4771e-02	1.2833e-03	0.0000e+00
2.6561e-02	1.2833e-03	0.0000e+00
2.8480e-02	1.2833e-03	0.0000e+00
3.0539e-02	1.2833e-03	0.0000e+00
3.2745e-02	1.2833e-03	0.0000e+00
3.5112e-02	1.2833e-03	0.0000e+00
3.7649e-02	1.2833e-03	0.0000e+00
4.0370e-02	1.2833e-03	0.0000e+00
4.3288e-02	1.2833e-03	0.0000e+00
4.6416e-02	1.2833e-03	0.0000e+00
4.9770e-02	1.2833e-03	0.0000e+00
5.3367e-02	1.2833e-03	0.0000e+00
5.7224e-02	1.2833e-03	0.0000e+00
6.1359e-02	1.2833e-03	0.0000e+00
6.5793e-02	1.2833e-03	0.0000e+00
7.0548e-02	1.2833e-03	0.0000e+00
7.5646e-02	1.2833e-03	0.0000e+00
8.1113e-02	1.2833e-03	0.0000e+00
8.6975e-02	1.2833e-03	0.0000e+00
9.3260e-02	1.2833e-03	0.0000e+00
1.0000e-01	1.2833e-03	0.0000e+00
1.0723e-01	1.2833e-03	0.0000e+00
1.1498e-01	1.2833e-03	0.0000e+00
1.2328e-01	1.2833e-03	0.0000e+00
1.3219e-01	1.2833e-03	0.0000e+00
1.4175e-01	1.2833e-03	0.0000e+00
1.5199e-01	1.2833e-03	0.0000e+00
1.6298e-01	1.2833e-03	0.0000e+00
1.7475e-01	1.2833e-03	0.0000e+00
1.8738e-01	1.2833e-03	0.0000e+00
2.0092e-01	1.2833e-03	0.0000e+00
2.1544e-01	1.2833e-03	0.0000e+00
2.3101e-01	1.2833e-03	0.0000e+00
2.4771e-01	1.2833e-03	0.0000e+00
