# mdm(GeV) 	mAp(GeV) 	Number of Signal Events
2.1336e-02	1.3102e-03	0.0000e+00
2.3286e-02	1.3102e-03	0.0000e+00
2.5413e-02	1.3102e-03	0.0000e+00
2.7736e-02	1.3102e-03	0.0000e+00
3.0270e-02	1.3102e-03	0.0000e+00
3.3036e-02	1.3102e-03	0.0000e+00
3.6055e-02	1.3102e-03	0.0000e+00
3.9349e-02	1.3102e-03	0.0000e+00
4.2945e-02	1.3102e-03	0.0000e+00
4.6869e-02	1.3102e-03	0.0000e+00
5.1152e-02	1.3102e-03	0.0000e+00
5.5826e-02	1.3102e-03	0.0000e+00
6.0927e-02	1.3102e-03	0.0000e+00
6.6494e-02	1.3102e-03	0.0000e+00
7.2570e-02	1.3102e-03	0.0000e+00
7.9202e-02	1.3102e-03	0.0000e+00
8.6439e-02	1.3102e-03	0.0000e+00
9.4337e-02	1.3102e-03	0.0000e+00
1.0296e-01	1.3102e-03	0.0000e+00
1.1237e-01	1.3102e-03	0.0000e+00
1.2263e-01	1.3102e-03	0.0000e+00
1.3384e-01	1.3102e-03	0.0000e+00
1.4607e-01	1.3102e-03	0.0000e+00
1.5942e-01	1.3102e-03	0.0000e+00
1.7398e-01	1.3102e-03	0.0000e+00
1.8988e-01	1.3102e-03	0.0000e+00
2.0723e-01	1.3102e-03	0.0000e+00
2.2617e-01	1.3102e-03	0.0000e+00
2.4683e-01	1.3102e-03	0.0000e+00
2.6939e-01	1.3102e-03	0.0000e+00
2.9400e-01	1.3102e-03	0.0000e+00
3.2087e-01	1.3102e-03	0.0000e+00
3.5019e-01	1.3102e-03	0.0000e+00
3.8219e-01	1.3102e-03	0.0000e+00
4.1711e-01	1.3102e-03	0.0000e+00
4.5523e-01	1.3102e-03	0.0000e+00
4.9682e-01	1.3102e-03	0.0000e+00
5.4222e-01	1.3102e-03	0.0000e+00
5.9177e-01	1.3102e-03	0.0000e+00
6.4584e-01	1.3102e-03	0.0000e+00
7.0486e-01	1.3102e-03	0.0000e+00
7.6926e-01	1.3102e-03	0.0000e+00
8.3956e-01	1.3102e-03	0.0000e+00
9.1627e-01	1.3102e-03	0.0000e+00
1.0000e+00	1.3102e-03	0.0000e+00
1.0000e-03	1.7167e-03	0.0000e+00
1.0914e-03	1.7167e-03	0.0000e+00
1.1911e-03	1.7167e-03	0.0000e+00
1.2999e-03	1.7167e-03	0.0000e+00
1.4187e-03	1.7167e-03	0.0000e+00
1.5484e-03	1.7167e-03	0.0000e+00
1.6898e-03	1.7167e-03	0.0000e+00
1.8443e-03	1.7167e-03	0.0000e+00
2.0128e-03	1.7167e-03	0.0000e+00
2.1967e-03	1.7167e-03	0.0000e+00
2.3974e-03	1.7167e-03	0.0000e+00
2.6165e-03	1.7167e-03	0.0000e+00
2.8556e-03	1.7167e-03	0.0000e+00
3.1165e-03	1.7167e-03	0.0000e+00
3.4013e-03	1.7167e-03	0.0000e+00
3.7121e-03	1.7167e-03	0.0000e+00
4.0513e-03	1.7167e-03	0.0000e+00
4.4215e-03	1.7167e-03	0.0000e+00
4.8255e-03	1.7167e-03	0.0000e+00
5.2665e-03	1.7167e-03	0.0000e+00
5.7477e-03	1.7167e-03	0.0000e+00
6.2729e-03	1.7167e-03	0.0000e+00
6.8461e-03	1.7167e-03	0.0000e+00
7.4717e-03	1.7167e-03	0.0000e+00
8.1544e-03	1.7167e-03	0.0000e+00
8.8995e-03	1.7167e-03	0.0000e+00
9.7127e-03	1.7167e-03	0.0000e+00
1.0600e-02	1.7167e-03	0.0000e+00
1.1569e-02	1.7167e-03	0.0000e+00
1.2626e-02	1.7167e-03	0.0000e+00
1.3780e-02	1.7167e-03	0.0000e+00
1.5039e-02	1.7167e-03	0.0000e+00
1.6413e-02	1.7167e-03	0.0000e+00
1.7913e-02	1.7167e-03	0.0000e+00
1.9550e-02	1.7167e-03	0.0000e+00
2.1336e-02	1.7167e-03	0.0000e+00
2.3286e-02	1.7167e-03	0.0000e+00
2.5413e-02	1.7167e-03	0.0000e+00
2.7736e-02	1.7167e-03	0.0000e+00
3.0270e-02	1.7167e-03	0.0000e+00
3.3036e-02	1.7167e-03	0.0000e+00
3.6055e-02	1.7167e-03	0.0000e+00
3.9349e-02	1.7167e-03	0.0000e+00
4.2945e-02	1.7167e-03	0.0000e+00
4.6869e-02	1.7167e-03	0.0000e+00
5.1152e-02	1.7167e-03	0.0000e+00
5.5826e-02	1.7167e-03	0.0000e+00
6.0927e-02	1.7167e-03	0.0000e+00
6.6494e-02	1.7167e-03	0.0000e+00
7.2570e-02	1.7167e-03	0.0000e+00
7.9202e-02	1.7167e-03	0.0000e+00
8.6439e-02	1.7167e-03	0.0000e+00
9.4337e-02	1.7167e-03	0.0000e+00
1.0296e-01	1.7167e-03	0.0000e+00
1.1237e-01	1.7167e-03	0.0000e+00
1.2263e-01	1.7167e-03	0.0000e+00
1.3384e-01	1.7167e-03	0.0000e+00
1.4607e-01	1.7167e-03	0.0000e+00
1.5942e-01	1.7167e-03	0.0000e+00
1.7398e-01	1.7167e-03	0.0000e+00
1.8988e-01	1.7167e-03	0.0000e+00
2.0723e-01	1.7167e-03	0.0000e+00
2.2617e-01	1.7167e-03	0.0000e+00
2.4683e-01	1.7167e-03	0.0000e+00
2.6939e-01	1.7167e-03	0.0000e+00
2.9400e-01	1.7167e-03	0.0000e+00
3.2087e-01	1.7167e-03	0.0000e+00
3.5019e-01	1.7167e-03	0.0000e+00
3.8219e-01	1.7167e-03	0.0000e+00
4.1711e-01	1.7167e-03	0.0000e+00
4.5523e-01	1.7167e-03	0.0000e+00
4.9682e-01	1.7167e-03	0.0000e+00
5.4222e-01	1.7167e-03	0.0000e+00
5.9177e-01	1.7167e-03	0.0000e+00
6.4584e-01	1.7167e-03	0.0000e+00
7.0486e-01	1.7167e-03	0.0000e+00
7.6926e-01	1.7167e-03	0.0000e+00
8.3956e-01	1.7167e-03	0.0000e+00
9.1627e-01	1.7167e-03	0.0000e+00
1.0000e+00	1.7167e-03	0.0000e+00
1.0000e-03	2.2493e-03	1.8202e+03
1.0914e-03	2.2493e-03	1.3497e+03
1.1911e-03	2.2493e-03	0.0000e+00
1.2999e-03	2.2493e-03	0.0000e+00
1.4187e-03	2.2493e-03	0.0000e+00
1.5484e-03	2.2493e-03	0.0000e+00
1.6898e-03	2.2493e-03	0.0000e+00
1.8443e-03	2.2493e-03	0.0000e+00
2.0128e-03	2.2493e-03	0.0000e+00
2.1967e-03	2.2493e-03	0.0000e+00
2.3974e-03	2.2493e-03	0.0000e+00
2.6165e-03	2.2493e-03	0.0000e+00
2.8556e-03	2.2493e-03	0.0000e+00
3.1165e-03	2.2493e-03	0.0000e+00
3.4013e-03	2.2493e-03	0.0000e+00
3.7121e-03	2.2493e-03	0.0000e+00
4.0513e-03	2.2493e-03	0.0000e+00
4.4215e-03	2.2493e-03	0.0000e+00
4.8255e-03	2.2493e-03	0.0000e+00
5.2665e-03	2.2493e-03	0.0000e+00
5.7477e-03	2.2493e-03	0.0000e+00
6.2729e-03	2.2493e-03	0.0000e+00
6.8461e-03	2.2493e-03	0.0000e+00
7.4717e-03	2.2493e-03	0.0000e+00
8.1544e-03	2.2493e-03	0.0000e+00
8.8995e-03	2.2493e-03	0.0000e+00
9.7127e-03	2.2493e-03	0.0000e+00
1.0600e-02	2.2493e-03	0.0000e+00
1.1569e-02	2.2493e-03	0.0000e+00
1.2626e-02	2.2493e-03	0.0000e+00
1.3780e-02	2.2493e-03	0.0000e+00
1.5039e-02	2.2493e-03	0.0000e+00
1.6413e-02	2.2493e-03	0.0000e+00
1.7913e-02	2.2493e-03	0.0000e+00
1.9550e-02	2.2493e-03	0.0000e+00
2.1336e-02	2.2493e-03	0.0000e+00
2.3286e-02	2.2493e-03	0.0000e+00
2.5413e-02	2.2493e-03	0.0000e+00
2.7736e-02	2.2493e-03	0.0000e+00
3.0270e-02	2.2493e-03	0.0000e+00
3.3036e-02	2.2493e-03	0.0000e+00
3.6055e-02	2.2493e-03	0.0000e+00
3.9349e-02	2.2493e-03	0.0000e+00
4.2945e-02	2.2493e-03	0.0000e+00
4.6869e-02	2.2493e-03	0.0000e+00
5.1152e-02	2.2493e-03	0.0000e+00
5.5826e-02	2.2493e-03	0.0000e+00
6.0927e-02	2.2493e-03	0.0000e+00
6.6494e-02	2.2493e-03	0.0000e+00
7.2570e-02	2.2493e-03	0.0000e+00
7.9202e-02	2.2493e-03	0.0000e+00
8.6439e-02	2.2493e-03	0.0000e+00
9.4337e-02	2.2493e-03	0.0000e+00
1.0296e-01	2.2493e-03	0.0000e+00
1.1237e-01	2.2493e-03	0.0000e+00
1.2263e-01	2.2493e-03	0.0000e+00
1.3384e-01	2.2493e-03	0.0000e+00
1.4607e-01	2.2493e-03	0.0000e+00
1.5942e-01	2.2493e-03	0.0000e+00
1.7398e-01	2.2493e-03	0.0000e+00
1.8988e-01	2.2493e-03	0.0000e+00
2.0723e-01	2.2493e-03	0.0000e+00
2.2617e-01	2.2493e-03	0.0000e+00
2.4683e-01	2.2493e-03	0.0000e+00
2.6939e-01	2.2493e-03	0.0000e+00
2.9400e-01	2.2493e-03	0.0000e+00
3.2087e-01	2.2493e-03	0.0000e+00
3.5019e-01	2.2493e-03	0.0000e+00
3.8219e-01	2.2493e-03	0.0000e+00
4.1711e-01	2.2493e-03	0.0000e+00
4.5523e-01	2.2493e-03	0.0000e+00
4.9682e-01	2.2493e-03	0.0000e+00
5.4222e-01	2.2493e-03	0.0000e+00
5.9177e-01	2.2493e-03	0.0000e+00
6.4584e-01	2.2493e-03	0.0000e+00
7.0486e-01	2.2493e-03	0.0000e+00
7.6926e-01	2.2493e-03	0.0000e+00
8.3956e-01	2.2493e-03	0.0000e+00
9.1627e-01	2.2493e-03	0.0000e+00
1.0000e+00	2.2493e-03	0.0000e+00
1.0000e-03	2.9470e-03	1.5006e+03
1.0914e-03	2.9470e-03	1.3855e+03
1.1911e-03	2.9470e-03	1.5232e+03
1.2999e-03	2.9470e-03	1.4332e+03
1.4187e-03	2.9470e-03	1.3158e+03
1.5484e-03	2.9470e-03	0.0000e+00
1.6898e-03	2.9470e-03	0.0000e+00
1.8443e-03	2.9470e-03	0.0000e+00
2.0128e-03	2.9470e-03	0.0000e+00
2.1967e-03	2.9470e-03	0.0000e+00
2.3974e-03	2.9470e-03	0.0000e+00
2.6165e-03	2.9470e-03	0.0000e+00
2.8556e-03	2.9470e-03	0.0000e+00
3.1165e-03	2.9470e-03	0.0000e+00
3.4013e-03	2.9470e-03	0.0000e+00
3.7121e-03	2.9470e-03	0.0000e+00
4.0513e-03	2.9470e-03	0.0000e+00
4.4215e-03	2.9470e-03	0.0000e+00
4.8255e-03	2.9470e-03	0.0000e+00
5.2665e-03	2.9470e-03	0.0000e+00
5.7477e-03	2.9470e-03	0.0000e+00
6.2729e-03	2.9470e-03	0.0000e+00
6.8461e-03	2.9470e-03	0.0000e+00
7.4717e-03	2.9470e-03	0.0000e+00
8.1544e-03	2.9470e-03	0.0000e+00
8.8995e-03	2.9470e-03	0.0000e+00
9.7127e-03	2.9470e-03	0.0000e+00
1.0600e-02	2.9470e-03	0.0000e+00
1.1569e-02	2.9470e-03	0.0000e+00
1.2626e-02	2.9470e-03	0.0000e+00
1.3780e-02	2.9470e-03	0.0000e+00
1.5039e-02	2.9470e-03	0.0000e+00
1.6413e-02	2.9470e-03	0.0000e+00
1.7913e-02	2.9470e-03	0.0000e+00
1.9550e-02	2.9470e-03	0.0000e+00
2.1336e-02	2.9470e-03	0.0000e+00
2.3286e-02	2.9470e-03	0.0000e+00
2.5413e-02	2.9470e-03	0.0000e+00
2.7736e-02	2.9470e-03	0.0000e+00
3.0270e-02	2.9470e-03	0.0000e+00
3.3036e-02	2.9470e-03	0.0000e+00
3.6055e-02	2.9470e-03	0.0000e+00
3.9349e-02	2.9470e-03	0.0000e+00
4.2945e-02	2.9470e-03	0.0000e+00
4.6869e-02	2.9470e-03	0.0000e+00
5.1152e-02	2.9470e-03	0.0000e+00
5.5826e-02	2.9470e-03	0.0000e+00
6.0927e-02	2.9470e-03	0.0000e+00
6.6494e-02	2.9470e-03	0.0000e+00
7.2570e-02	2.9470e-03	0.0000e+00
7.9202e-02	2.9470e-03	0.0000e+00
8.6439e-02	2.9470e-03	0.0000e+00
9.4337e-02	2.9470e-03	0.0000e+00
1.0296e-01	2.9470e-03	0.0000e+00
1.1237e-01	2.9470e-03	0.0000e+00
1.2263e-01	2.9470e-03	0.0000e+00
1.3384e-01	2.9470e-03	0.0000e+00
1.4607e-01	2.9470e-03	0.0000e+00
1.5942e-01	2.9470e-03	0.0000e+00
1.7398e-01	2.9470e-03	0.0000e+00
1.8988e-01	2.9470e-03	0.0000e+00
2.0723e-01	2.9470e-03	0.0000e+00
2.2617e-01	2.9470e-03	0.0000e+00
2.4683e-01	2.9470e-03	0.0000e+00
2.6939e-01	2.9470e-03	0.0000e+00
2.9400e-01	2.9470e-03	0.0000e+00
3.2087e-01	2.9470e-03	0.0000e+00
3.5019e-01	2.9470e-03	0.0000e+00
3.8219e-01	2.9470e-03	0.0000e+00
4.1711e-01	2.9470e-03	0.0000e+00
4.5523e-01	2.9470e-03	0.0000e+00
4.9682e-01	2.9470e-03	0.0000e+00
5.4222e-01	2.9470e-03	0.0000e+00
5.9177e-01	2.9470e-03	0.0000e+00
6.4584e-01	2.9470e-03	0.0000e+00
7.0486e-01	2.9470e-03	0.0000e+00
7.6926e-01	2.9470e-03	0.0000e+00
8.3956e-01	2.9470e-03	0.0000e+00
9.1627e-01	2.9470e-03	0.0000e+00
1.0000e+00	2.9470e-03	0.0000e+00
1.0000e-03	3.8613e-03	1.1823e+03
1.0914e-03	3.8613e-03	1.1736e+03
1.1911e-03	3.8613e-03	1.1525e+03
1.2999e-03	3.8613e-03	1.2309e+03
1.4187e-03	3.8613e-03	8.8706e+02
1.5484e-03	3.8613e-03	1.1930e+03
1.6898e-03	3.8613e-03	1.1299e+03
1.8443e-03	3.8613e-03	1.1307e+03
2.0128e-03	3.8613e-03	0.0000e+00
2.1967e-03	3.8613e-03	0.0000e+00
2.3974e-03	3.8613e-03	0.0000e+00
2.6165e-03	3.8613e-03	0.0000e+00
2.8556e-03	3.8613e-03	0.0000e+00
3.1165e-03	3.8613e-03	0.0000e+00
3.4013e-03	3.8613e-03	0.0000e+00
3.7121e-03	3.8613e-03	0.0000e+00
4.0513e-03	3.8613e-03	0.0000e+00
4.4215e-03	3.8613e-03	0.0000e+00
4.8255e-03	3.8613e-03	0.0000e+00
5.2665e-03	3.8613e-03	0.0000e+00
5.7477e-03	3.8613e-03	0.0000e+00
6.2729e-03	3.8613e-03	0.0000e+00
6.8461e-03	3.8613e-03	0.0000e+00
7.4717e-03	3.8613e-03	0.0000e+00
8.1544e-03	3.8613e-03	0.0000e+00
8.8995e-03	3.8613e-03	0.0000e+00
9.7127e-03	3.8613e-03	0.0000e+00
1.0600e-02	3.8613e-03	0.0000e+00
1.1569e-02	3.8613e-03	0.0000e+00
1.2626e-02	3.8613e-03	0.0000e+00
1.3780e-02	3.8613e-03	0.0000e+00
1.5039e-02	3.8613e-03	0.0000e+00
1.6413e-02	3.8613e-03	0.0000e+00
1.7913e-02	3.8613e-03	0.0000e+00
1.9550e-02	3.8613e-03	0.0000e+00
2.1336e-02	3.8613e-03	0.0000e+00
2.3286e-02	3.8613e-03	0.0000e+00
2.5413e-02	3.8613e-03	0.0000e+00
2.7736e-02	3.8613e-03	0.0000e+00
3.0270e-02	3.8613e-03	0.0000e+00
3.3036e-02	3.8613e-03	0.0000e+00
3.6055e-02	3.8613e-03	0.0000e+00
3.9349e-02	3.8613e-03	0.0000e+00
4.2945e-02	3.8613e-03	0.0000e+00
4.6869e-02	3.8613e-03	0.0000e+00
5.1152e-02	3.8613e-03	0.0000e+00
5.5826e-02	3.8613e-03	0.0000e+00
6.0927e-02	3.8613e-03	0.0000e+00
6.6494e-02	3.8613e-03	0.0000e+00
7.2570e-02	3.8613e-03	0.0000e+00
7.9202e-02	3.8613e-03	0.0000e+00
8.6439e-02	3.8613e-03	0.0000e+00
9.4337e-02	3.8613e-03	0.0000e+00
1.0296e-01	3.8613e-03	0.0000e+00
1.1237e-01	3.8613e-03	0.0000e+00
1.2263e-01	3.8613e-03	0.0000e+00
1.3384e-01	3.8613e-03	0.0000e+00
1.4607e-01	3.8613e-03	0.0000e+00
1.5942e-01	3.8613e-03	0.0000e+00
1.7398e-01	3.8613e-03	0.0000e+00
1.8988e-01	3.8613e-03	0.0000e+00
2.0723e-01	3.8613e-03	0.0000e+00
2.2617e-01	3.8613e-03	0.0000e+00
2.4683e-01	3.8613e-03	0.0000e+00
2.6939e-01	3.8613e-03	0.0000e+00
2.9400e-01	3.8613e-03	0.0000e+00
3.2087e-01	3.8613e-03	0.0000e+00
3.5019e-01	3.8613e-03	0.0000e+00
3.8219e-01	3.8613e-03	0.0000e+00
4.1711e-01	3.8613e-03	0.0000e+00
4.5523e-01	3.8613e-03	0.0000e+00
4.9682e-01	3.8613e-03	0.0000e+00
5.4222e-01	3.8613e-03	0.0000e+00
5.9177e-01	3.8613e-03	0.0000e+00
6.4584e-01	3.8613e-03	0.0000e+00
7.0486e-01	3.8613e-03	0.0000e+00
7.6926e-01	3.8613e-03	0.0000e+00
8.3956e-01	3.8613e-03	0.0000e+00
9.1627e-01	3.8613e-03	0.0000e+00
1.0000e+00	3.8613e-03	0.0000e+00
1.0000e-03	5.0592e-03	8.5530e+02
1.0914e-03	5.0592e-03	9.7329e+02
1.1911e-03	5.0592e-03	8.9973e+02
1.2999e-03	5.0592e-03	9.2586e+02
1.4187e-03	5.0592e-03	8.7598e+02
1.5484e-03	5.0592e-03	9.2211e+02
1.6898e-03	5.0592e-03	8.7525e+02
1.8443e-03	5.0592e-03	9.0767e+02
2.0128e-03	5.0592e-03	9.5064e+02
2.1967e-03	5.0592e-03	9.3110e+02
2.3974e-03	5.0592e-03	9.0666e+02
2.6165e-03	5.0592e-03	0.0000e+00
2.8556e-03	5.0592e-03	0.0000e+00
3.1165e-03	5.0592e-03	0.0000e+00
3.4013e-03	5.0592e-03	0.0000e+00
3.7121e-03	5.0592e-03	0.0000e+00
4.0513e-03	5.0592e-03	0.0000e+00
4.4215e-03	5.0592e-03	0.0000e+00
4.8255e-03	5.0592e-03	0.0000e+00
5.2665e-03	5.0592e-03	0.0000e+00
5.7477e-03	5.0592e-03	0.0000e+00
6.2729e-03	5.0592e-03	0.0000e+00
6.8461e-03	5.0592e-03	0.0000e+00
7.4717e-03	5.0592e-03	0.0000e+00
8.1544e-03	5.0592e-03	0.0000e+00
8.8995e-03	5.0592e-03	0.0000e+00
9.7127e-03	5.0592e-03	0.0000e+00
1.0600e-02	5.0592e-03	0.0000e+00
1.1569e-02	5.0592e-03	0.0000e+00
1.2626e-02	5.0592e-03	0.0000e+00
1.3780e-02	5.0592e-03	0.0000e+00
1.5039e-02	5.0592e-03	0.0000e+00
1.6413e-02	5.0592e-03	0.0000e+00
1.7913e-02	5.0592e-03	0.0000e+00
1.9550e-02	5.0592e-03	0.0000e+00
2.1336e-02	5.0592e-03	0.0000e+00
2.3286e-02	5.0592e-03	0.0000e+00
2.5413e-02	5.0592e-03	0.0000e+00
2.7736e-02	5.0592e-03	0.0000e+00
3.0270e-02	5.0592e-03	0.0000e+00
3.3036e-02	5.0592e-03	0.0000e+00
3.6055e-02	5.0592e-03	0.0000e+00
3.9349e-02	5.0592e-03	0.0000e+00
4.2945e-02	5.0592e-03	0.0000e+00
4.6869e-02	5.0592e-03	0.0000e+00
5.1152e-02	5.0592e-03	0.0000e+00
5.5826e-02	5.0592e-03	0.0000e+00
6.0927e-02	5.0592e-03	0.0000e+00
6.6494e-02	5.0592e-03	0.0000e+00
7.2570e-02	5.0592e-03	0.0000e+00
7.9202e-02	5.0592e-03	0.0000e+00
8.6439e-02	5.0592e-03	0.0000e+00
9.4337e-02	5.0592e-03	0.0000e+00
1.0296e-01	5.0592e-03	0.0000e+00
1.1237e-01	5.0592e-03	0.0000e+00
1.2263e-01	5.0592e-03	0.0000e+00
1.3384e-01	5.0592e-03	0.0000e+00
1.4607e-01	5.0592e-03	0.0000e+00
1.5942e-01	5.0592e-03	0.0000e+00
1.7398e-01	5.0592e-03	0.0000e+00
1.8988e-01	5.0592e-03	0.0000e+00
2.0723e-01	5.0592e-03	0.0000e+00
2.2617e-01	5.0592e-03	0.0000e+00
2.4683e-01	5.0592e-03	0.0000e+00
2.6939e-01	5.0592e-03	0.0000e+00
2.9400e-01	5.0592e-03	0.0000e+00
3.2087e-01	5.0592e-03	0.0000e+00
3.5019e-01	5.0592e-03	0.0000e+00
3.8219e-01	5.0592e-03	0.0000e+00
4.1711e-01	5.0592e-03	0.0000e+00
4.5523e-01	5.0592e-03	0.0000e+00
4.9682e-01	5.0592e-03	0.0000e+00
5.4222e-01	5.0592e-03	0.0000e+00
5.9177e-01	5.0592e-03	0.0000e+00
6.4584e-01	5.0592e-03	0.0000e+00
7.0486e-01	5.0592e-03	0.0000e+00
7.6926e-01	5.0592e-03	0.0000e+00
8.3956e-01	5.0592e-03	0.0000e+00
9.1627e-01	5.0592e-03	0.0000e+00
1.0000e+00	5.0592e-03	0.0000e+00
1.0000e-03	6.6287e-03	6.9018e+02
1.0914e-03	6.6287e-03	6.8643e+02
1.1911e-03	6.6287e-03	6.7525e+02
1.2999e-03	6.6287e-03	6.7216e+02
1.4187e-03	6.6287e-03	7.2369e+02
1.5484e-03	6.6287e-03	6.9891e+02
1.6898e-03	6.6287e-03	6.7905e+02
1.8443e-03	6.6287e-03	6.9848e+02
2.0128e-03	6.6287e-03	7.0569e+02
2.1967e-03	6.6287e-03	6.8142e+02
2.3974e-03	6.6287e-03	7.2901e+02
2.6165e-03	6.6287e-03	6.8412e+02
2.8556e-03	6.6287e-03	6.8189e+02
3.1165e-03	6.6287e-03	7.4544e+02
3.4013e-03	6.6287e-03	0.0000e+00
3.7121e-03	6.6287e-03	0.0000e+00
4.0513e-03	6.6287e-03	0.0000e+00
4.4215e-03	6.6287e-03	0.0000e+00
4.8255e-03	6.6287e-03	0.0000e+00
5.2665e-03	6.6287e-03	0.0000e+00
